task_id,task_name,company,order_name,campaas,campaas_1,bu,bu_1,currency,amount_untaxed,fecha_pub,fecha_estimada,importe_linea
25874,Recontra Luchita (Pauta por 30 días TikTok),NEXT STEP ADVERTISING S.R.L.,AR03491,False,Campañas,False,ZAS ARGENTINA,ARS,8000000.0,False,2026-05-11 13:00:00,300000.0
25863,Recontra Luchita (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03491,False,Campañas,False,ZAS ARGENTINA,ARS,8000000.0,False,2026-05-11 13:00:00,1000000.0
25628,Juli Bianco (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR02964,False,Campañas,False,ZAS ARGENTINA,ARS,25000000.0,2026-04-23 13:00:00,False,250000.0
25389,Domi Faena (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03438,False,Campañas,False,ZAS ARGENTINA,ARS,15000000.0,False,False,900000.0
24856,Delfi Peña (Historia Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03444,False,Campañas,False,ZAS ARGENTINA,ARS,2510000.0,False,2026-06-08 14:00:00,70000.0
24851,Delfi Peña (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03444,False,Campañas,False,ZAS ARGENTINA,ARS,2510000.0,False,2026-06-08 14:00:00,100000.0
24844,Delfi Peña (Tiktok 3),NEXT STEP ADVERTISING S.R.L.,AR03444,False,Campañas,False,ZAS ARGENTINA,ARS,2510000.0,False,2026-05-04 14:00:00,120000.0
24835,Delfi Peña (Pauta por 30 días 3),NEXT STEP ADVERTISING S.R.L.,AR03373,False,Campañas,False,ZAS ARGENTINA,ARS,2990000.0,False,False,90000.0
24829,Delfi Peña (Tiktok 3),NEXT STEP ADVERTISING S.R.L.,AR03373,False,Campañas,False,ZAS ARGENTINA,ARS,2990000.0,False,2026-06-08 14:00:00,200000.0
24826,Delfi Peña (Pauta por 30 días 3),NEXT STEP ADVERTISING S.R.L.,AR03373,False,Campañas,False,ZAS ARGENTINA,ARS,2990000.0,False,2026-07-06 14:00:00,100000.0
24823,Delfi Peña (Reel Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03373,False,Campañas,False,ZAS ARGENTINA,ARS,2990000.0,False,2026-07-06 14:00:00,120000.0
24815,Delfi Peña (Historia Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03373,False,Campañas,False,ZAS ARGENTINA,ARS,2990000.0,2026-05-13 14:00:00,False,70000.0
24805,Martu Ortiz (Historia Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03141,False,Campañas,False,ZAS ARGENTINA,ARS,11000000.0,False,2026-06-08 14:00:00,400000.0
24802,Martu Ortiz (Reel Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03141,False,Campañas,False,ZAS ARGENTINA,ARS,11000000.0,False,2026-09-14 14:00:00,800000.0
24799,Martu Ortiz (Tiktok 3),NEXT STEP ADVERTISING S.R.L.,AR03141,False,Campañas,False,ZAS ARGENTINA,ARS,11000000.0,False,2026-07-06 14:00:00,800000.0
24780,Fede Robello (Historia Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03427,False,Campañas,False,ZAS ARGENTINA,ARS,4500000.0,2026-03-04 15:00:00,False,600000.0
24272,Kiari Hernandez (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03392,False,Campañas,False,ZAS ARGENTINA,ARS,3500000.0,False,2026-05-04 19:00:00,50000.0
24269,Kiari Hernandez (Historia Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03392,False,Campañas,False,ZAS ARGENTINA,ARS,3500000.0,False,2026-09-07 20:00:00,300000.0
24261,Kiari Hernandez (Tiktok 3),NEXT STEP ADVERTISING S.R.L.,AR03392,False,Campañas,False,ZAS ARGENTINA,ARS,3500000.0,False,2026-05-04 19:00:00,400000.0
24255,Kiari Hernandez (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03143,False,Campañas,False,ZAS ARGENTINA,ARS,3500000.0,False,2026-05-04 20:00:00,50000.0
24250,Kiari Hernandez (Historia Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03143,False,Campañas,False,ZAS ARGENTINA,ARS,3500000.0,False,2026-09-07 20:00:00,300000.0
24247,Kiari Hernandez (Tiktok 3),NEXT STEP ADVERTISING S.R.L.,AR03143,False,Campañas,False,ZAS ARGENTINA,ARS,3500000.0,False,2026-05-04 20:00:00,400000.0
24196,Juli Bianco (Historia Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03349,False,Campañas,False,ZAS ARGENTINA,ARS,2000000.0,2026-03-19 19:00:00,False,50000.0
24009,MARTY D (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03347,False,Campañas,False,ZAS ARGENTINA,ARS,7000000.0,False,2026-06-08 20:00:00,900000.0
24002,MARTY D (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03347,False,Campañas,False,ZAS ARGENTINA,ARS,7000000.0,False,2026-05-04 20:00:00,200000.0
23996,MARTY D (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03346,False,Campañas,False,ZAS ARGENTINA,ARS,7000000.0,2026-04-20 13:00:00,False,900000.0
23989,MARTY D (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03346,False,Campañas,False,ZAS ARGENTINA,ARS,7000000.0,2026-04-20 13:00:00,False,200000.0
23982,MARTY D (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03125,False,Campañas,False,ZAS ARGENTINA,ARS,6000000.0,False,2026-06-08 20:00:00,800000.0
23974,MARTY D (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03125,False,Campañas,False,ZAS ARGENTINA,ARS,6000000.0,False,2026-06-01 20:00:00,145000.0
23812,IMANOL (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03335,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-07-06 20:00:00,150000.0
23809,IMANOL (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03335,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-07-06 20:00:00,200000.0
23805,IMANOL (Reel 3),NEXT STEP ADVERTISING S.R.L.,AR03335,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-07-06 20:00:00,400000.0
23802,IMANOL (Tiktok 3),NEXT STEP ADVERTISING S.R.L.,AR03335,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-07-06 20:00:00,350000.0
23796,IMANOL (Historia 3),NEXT STEP ADVERTISING S.R.L.,AR03335,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,2026-05-12 20:00:00,False,150000.0
23791,IMANOL (Pauta por 30 días 3),NEXT STEP ADVERTISING S.R.L.,AR03334,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-09-07 20:00:00,150000.0
23782,IMANOL (Historia 3),NEXT STEP ADVERTISING S.R.L.,AR03334,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-06-01 20:00:00,300000.0
23779,IMANOL (Reel 3),NEXT STEP ADVERTISING S.R.L.,AR03334,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-09-07 20:00:00,500000.0
23774,IMANOL (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03127,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-10-05 20:00:00,150000.0
23771,IMANOL (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03127,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-07-06 20:00:00,150000.0
23765,IMANOL (Historia 3),NEXT STEP ADVERTISING S.R.L.,AR03127,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,2026-06-09 15:00:00,False,200000.0
23762,IMANOL (Reel Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03127,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-10-05 20:00:00,400000.0
23759,IMANOL (Tiktok 3),NEXT STEP ADVERTISING S.R.L.,AR03127,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-07-06 20:00:00,500000.0
23690,Tobi Calderon  (Historia 9),NEXT STEP ADVERTISING S.R.L.,AR03096,False,Campañas,False,ZAS ARGENTINA,ARS,5750000.0,2026-02-15 20:00:00,2026-02-16 20:00:00,200000.0
23684,Tobi Calderon  (Historia 3),NEXT STEP ADVERTISING S.R.L.,AR03096,False,Campañas,False,ZAS ARGENTINA,ARS,5750000.0,2026-02-01 20:00:00,False,200000.0
23673,Delfi Peña (Historia 6),NEXT STEP ADVERTISING S.R.L.,AR03098,False,Campañas,False,ZAS ARGENTINA,ARS,4000000.0,2026-02-15 20:00:00,2026-02-16 19:00:00,150000.0
23653,Sol Ibañez (Tiktok 1),NEXT STEP ADVERTISING S.R.L.,AR03095,False,Campañas,False,ZAS ARGENTINA,ARS,6000000.0,2026-02-03 15:00:00,False,1200000.0
